Tweet,Label,cleaning,normalisasi,tokenisasi,stopword_removal
"hai kak, maaf untuk pengalamannya ya. terkait muncul pop up pada layar hp kami sarankan untuk dapat cek setting kemudian cek pesan siaran lalu di off kan, jika masih berkendala kami sarankan lepas pasang kartu kemudian coba kembali ya. salam.^nay",Neutral,hai kak maaf untuk pengalamannya ya terkait muncul pop up pada layar hp kami sarankan untuk dapat cek setting kemudian cek pesan siaran lalu di off kan jika masih berkendala kami sarankan lepas pasang kartu kemudian coba kembali ya salamnay,hai kak maaf untuk pengalamannya ya terkait muncul pop up pada layar hp kami sarankan untuk dapat cek setting kemudian cek pesan siaran lalu di off kan jika masih berkendala kami sarankan lepas pasang kartu kemudian coba kembali ya salamnay,"['hai', 'kak', 'maaf', 'untuk', 'pengalamannya', 'ya', 'terkait', 'muncul', 'pop', 'up', 'pada', 'layar', 'hp', 'kami', 'sarankan', 'untuk', 'dapat', 'cek', 'setting', 'kemudian', 'cek', 'pesan', 'siaran', 'lalu', 'di', 'off', 'kan', 'jika', 'masih', 'berkendala', 'kami', 'sarankan', 'lepas', 'pasang', 'kartu', 'kemudian', 'coba', 'kembali', 'ya', 'salamnay']",hai maaf pengalamannya terkait muncul pop up layar hp sarankan cek setting cek pesan siaran off berkendala sarankan lepas pasang kartu coba salamnay
"kabar gembira untuk kita semua, kulit manggis kini ada ekstraknya, mastin hadir dan rawat tubuh kita jadikan hari ini hari mastin, tampil bersinar membuatku bahagia badan sehat rahasia mastin herbal, rahasia alam dari indonesia penuh pesona pesona mastin.. mastiinn good~~",Neutral,kabar gembira untuk kita semua kulit manggis kini ada ekstraknya mastin hadir dan rawat tubuh kita jadikan hari ini hari mastin tampil bersinar membuatku bahagia badan sehat rahasia mastin herbal rahasia alam dari indonesia penuh pesona pesona mastin mastiinn good,kabar gembira untuk kita semua kulit manggis kini ada ekstraknya mastin hadir dan rawat tubuh kita jadikan hari ini hari mastin tampil bersinar membuatku bahagia badan sehat rahasia mastin herbal rahasia alam dari indonesia penuh pesona pesona mastin mastiinn good,"['kabar', 'gembira', 'untuk', 'kita', 'semua', 'kulit', 'manggis', 'kini', 'ada', 'ekstraknya', 'mastin', 'hadir', 'dan', 'rawat', 'tubuh', 'kita', 'jadikan', 'hari', 'ini', 'hari', 'mastin', 'tampil', 'bersinar', 'membuatku', 'bahagia', 'badan', 'sehat', 'rahasia', 'mastin', 'herbal', 'rahasia', 'alam', 'dari', 'indonesia', 'penuh', 'pesona', 'pesona', 'mastin', 'mastiinn', 'good']",kabar gembira kulit manggis ekstraknya mastin hadir rawat tubuh jadikan mastin tampil bersinar membuatku bahagia badan sehat rahasia mastin herbal rahasia alam indonesia penuh pesona pesona mastin mastiinn good
tapi sumpah gua kalo galau jg malah dengerin lagu hiphop/rock klo lagu galau malah lg biasa aja,Neutral,tapi sumpah gua kalo galau jg malah dengerin lagu hiphoprock klo lagu galau malah lg biasa aja,tapi sumpah gua kalau galau juga malah mendengarkan lagu hiphoprock kalau lagu galau malah lagi biasa saja,"['tapi', 'sumpah', 'gua', 'kalau', 'galau', 'juga', 'malah', 'mendengarkan', 'lagu', 'hiphoprock', 'kalau', 'lagu', 'galau', 'malah', 'lagi', 'biasa', 'saja']",sumpah gua galau mendengarkan lagu hiphoprock lagu galau
nasi biasa di canpur sambal cikur sangrai,Neutral,nasi biasa di canpur sambal cikur sangrai,nasi biasa di canpur sambal cikur sangrai,"['nasi', 'biasa', 'di', 'canpur', 'sambal', 'cikur', 'sangrai']",nasi canpur sambal cikur sangrai
ketauan deh biasa searching di search barnya,Neutral,ketauan deh biasa searching di search barnya,ketahuan deh biasa searching di search barnya,"['ketahuan', 'deh', 'biasa', 'searching', 'di', 'search', 'barnya']",ketahuan searching search barnya
kita ikuti saja wan abud mentok sampai dimana ..,Neutral,kita ikuti saja wan abud mentok sampai dimana,kita ikuti saja wan abud mentok sampai dimana,"['kita', 'ikuti', 'saja', 'wan', 'abud', 'mentok', 'sampai', 'dimana']",ikuti wan abud mentok dimana
mencoba santai meskipun hectic parah,Neutral,mencoba santai meskipun hectic parah,mencoba santai meskipun hectic parah,"['mencoba', 'santai', 'meskipun', 'hectic', 'parah']",mencoba santai hectic parah
"wkwk sama nderr tapi aku santai aja sih soalnya ada jaehyun, tmn rl ku yg ngatain q galakun pun cowonya modelan .. ah sudahlah",Neutral,wkwk sama nderr tapi aku santai aja sih soalnya ada jaehyun tmn rl ku yg ngatain q galakun pun cowonya modelan ah sudahlah,wkwk sama nderr tapi aku santai saja sih soalnya ada jaehyun teman rl ku yang mengatai ku galakun pun cowonya modelan ah sudahlah,"['wkwk', 'sama', 'nderr', 'tapi', 'aku', 'santai', 'saja', 'sih', 'soalnya', 'ada', 'jaehyun', 'teman', 'rl', 'ku', 'yang', 'mengatai', 'ku', 'galakun', 'pun', 'cowonya', 'modelan', 'ah', 'sudahlah']",nderr santai jaehyun teman rl mengatai galakun cowonya modelan ah
jangan pernah merendahkan diri sendiri karena kita itu luar biasaa,Neutral,jangan pernah merendahkan diri sendiri karena kita itu luar biasaa,jangan pernah merendahkan diri sendiri karena kita itu luar biasaa,"['jangan', 'pernah', 'merendahkan', 'diri', 'sendiri', 'karena', 'kita', 'itu', 'luar', 'biasaa\x9d']",merendahkan biasaa
gue baru bangun tidur dan semalem tidur cepat krn g enak badan batuk pilek tau2 bangun denger denis bikin pengumuman kontrak sdh habis makin nambah sakit vine masih diem ampe skrng g keluarin pengumuman juga kah? agensi anehsemoga baik2 saja,Neutral,gue baru bangun tidur dan semalem tidur cepat krn g enak badan batuk pilek tau bangun denger denis bikin pengumuman kontrak sdh habis makin nambah sakit vine masih diem ampe skrng g keluarin pengumuman juga kah agensi anehsemoga baik saja,gue baru bangun tidur dan semalem tidur cepat karena tidak enak badan batuk pilek tau bangun dengar denis bikin pengumuman kontrak sudah habis makin menambah sakit vine masih diam sampai sekarang tidak keluarkan pengumuman juga kah agensi anehsemoga baik saja,"['gue', 'baru', 'bangun', 'tidur', 'dan', 'semalem', 'tidur', 'cepat', 'karena', 'tidak', 'enak', 'badan', 'batuk', 'pilek', 'tau', 'bangun', 'dengar', 'denis', 'bikin', 'pengumuman', 'kontrak', 'sudah', 'habis', 'makin', 'menambah', 'sakit', 'vine', 'masih', 'diam', 'sampai', 'sekarang', 'tidak', 'keluarkan', 'pengumuman', 'juga', 'kah', 'agensi', 'anehsemoga', 'baik', 'saja']",gue bangun tidur semalem tidur cepat enak badan batuk pilek bangun dengar denis bikin pengumuman kontrak habis menambah sakit vine diam keluarkan pengumuman kah agensi anehsemoga
"benda normal, nk malu apa",Neutral,benda normal nk malu apa,benda normal nk malu apa,"['benda', 'normal', 'nk', 'malu', 'apa']",benda normal nk malu
sakit perutnya luar biasa bikin meringis,Neutral,sakit perutnya luar biasa bikin meringis,sakit perutnya luar biasa bikin meringis,"['sakit', 'perutnya', 'luar', 'biasa', 'bikin', 'meringis']",sakit perutnya bikin meringis
"3. sementara utk 6 sampel, diambil 2 relatif dekat transportasi massal (dibawah 1 km - tergantung posisi rumah) smtr 4 lokasi jauh (2 km) atau tanpa opsi transportasi massal (kecuali citra raya cikupa ada bis feeder swasta). dari lokasi saja, tentu sdh condong ke non transit",Neutral,sementara utk sampel diambil relatif dekat transportasi massal dibawah km tergantung posisi rumah smtr lokasi jauh km atau tanpa opsi transportasi massal kecuali citra raya cikupa ada bis feeder swasta dari lokasi saja tentu sdh condong ke non transit,sementara untuk sampel diambil relatif dekat transportasi massal dibawah kamu tergantung posisi rumah smtr lokasi jauh kamu atau tanpa opsi transportasi massal kecuali citra raya cikupa ada bis feeder swasta dari lokasi saja tentu sudah condong ke non transit,"['sementara', 'untuk', 'sampel', 'diambil', 'relatif', 'dekat', 'transportasi', 'massal', 'dibawah', 'kamu', 'tergantung', 'posisi', 'rumah', 'smtr', 'lokasi', 'jauh', 'kamu', 'atau', 'tanpa', 'opsi', 'transportasi', 'massal', 'kecuali', 'citra', 'raya', 'cikupa', 'ada', 'bis', 'feeder', 'swasta', 'dari', 'lokasi', 'saja', 'tentu', 'sudah', 'condong', 'ke', 'non', 'transit']",sampel diambil relatif transportasi massal dibawah tergantung posisi rumah smtr lokasi opsi transportasi massal kecuali citra raya cikupa bis feeder swasta lokasi condong non transit
"kemarin malam sehat saja dan tidurpun pulas. kok tadi malam timbul sakit sekali rasa badan sampai susah tidur. baru bisa tidur pas subuh, ehh jam 6 malah ada yang nelpon.",Neutral,kemarin malam sehat saja dan tidurpun pulas kok tadi malam timbul sakit sekali rasa badan sampai susah tidur baru bisa tidur pas subuh ehh jam malah ada yang nelpon,kemarin malam sehat saja dan tidurpun pulas kok tadi malam timbul sakit sekali rasa badan sampai susah tidur baru bisa tidur pas subuh eh jam malah ada yang nelpon,"['kemarin', 'malam', 'sehat', 'saja', 'dan', 'tidurpun', 'pulas', 'kok', 'tadi', 'malam', 'timbul', 'sakit', 'sekali', 'rasa', 'badan', 'sampai', 'susah', 'tidur', 'baru', 'bisa', 'tidur', 'pas', 'subuh', 'eh', 'jam', 'malah', 'ada', 'yang', 'nelpon']",kemarin malam sehat tidurpun pulas malam timbul sakit badan susah tidur tidur subuh eh jam nelpon
berita pagi ini cukup membosankan tapi gpp dapat informasi terupdate jadinya,Neutral,berita pagi ini cukup membosankan tapi gpp dapat informasi terupdate jadinya,berita pagi ini cukup membosankan tapi dapat informasi terupdate jadinya,"['berita', 'pagi', 'ini', 'cukup', 'membosankan', 'tapi', 'dapat', 'informasi', 'terupdate', 'jadinya']",berita pagi membosankan informasi terupdate
biasa terjadi di ekon ekon tidak berpolowers,Neutral,biasa terjadi di ekon ekon tidak berpolowers,biasa terjadi di ekon ekon tidak berpolowers,"['biasa', 'terjadi', 'di', 'ekon', 'ekon', 'tidak', 'berpolowers']",ekon ekon berpolowers
amanah yg bagus. bismillah ..,Neutral,amanah yg bagus bismillah,amanah yang bagus bismillah,"['amanah', 'yang', 'bagus', 'bismillah']",amanah bagus bismillah
"bagaimana bisa memahami kalau hanya hapal saja, sedang yg menterjemahkan org lain yg belum tentu benar 100%",Neutral,bagaimana bisa memahami kalau hanya hapal saja sedang yg menterjemahkan org lain yg belum tentu benar,bagaimana bisa memahami kalau hanya hapal saja sedang yang menterjemahkan orang lain yang belum tentu benar,"['bagaimana', 'bisa', 'memahami', 'kalau', 'hanya', 'hapal', 'saja', 'sedang', 'yang', 'menterjemahkan', 'orang', 'lain', 'yang', 'belum', 'tentu', 'benar']",memahami hapal menterjemahkan orang
open santai ya,Neutral,open santai ya,open santai ya,"['open', 'santai', 'ya']",open santai
"ga tau, ga ada kabar",Neutral,ga tau ga ada kabar,tidak tau tidak ada kabar,"['tidak', 'tau', 'tidak', 'ada', 'kabar']",kabar
ya sprti biasa.kerja kerja dan kerja..,Neutral,ya sprti biasakerja kerja dan kerja,ya seperti biasakerja kerja dan kerja,"['ya', 'seperti', 'biasakerja', 'kerja', 'dan', 'kerja']",biasakerja kerja kerja
hyper itu masalah bawaan diri dia karena manusia itu ada yg nafsunya hyper ada yg biasa aja sedang menggauli istri dgn penuh kasih sayang itu perlakuan kewajiban semua suami jadi gak masuk pertanyaannya hyper sama menggauli dengan kasih sayang itu gak masuk,Neutral,hyper itu masalah bawaan diri dia karena manusia itu ada yg nafsunya hyper ada yg biasa aja sedang menggauli istri dgn penuh kasih sayang itu perlakuan kewajiban semua suami jadi gak masuk pertanyaannya hyper sama menggauli dengan kasih sayang itu gak masuk,hyper itu masalah bawaan diri dia karena manusia itu ada yang nafsunya hyper ada yang biasa saja sedang menggauli istri dengan penuh kasih sayang itu perlakuan kewajiban semua suami jadi tidak masuk pertanyaannya hyper sama menggauli dengan kasih sayang itu tidak masuk,"['hyper', 'itu', 'masalah', 'bawaan', 'diri', 'dia', 'karena', 'manusia', 'itu', 'ada', 'yang', 'nafsunya', 'hyper', 'ada', 'yang', 'biasa', 'saja', 'sedang', 'menggauli', 'istri', 'dengan', 'penuh', 'kasih', 'sayang', 'itu', 'perlakuan', 'kewajiban', 'semua', 'suami', 'jadi', 'tidak', 'masuk', 'pertanyaannya', 'hyper', 'sama', 'menggauli', 'dengan', 'kasih', 'sayang', 'itu', 'tidak', 'masuk']",hyper bawaan manusia nafsunya hyper menggauli istri penuh kasih sayang perlakuan kewajiban suami masuk pertanyaannya hyper menggauli kasih sayang masuk
manusia normal = ingin menjadi anime,Neutral,manusia normal ingin menjadi anime,manusia normal ingin menjadi anime,"['manusia', 'normal', 'ingin', 'menjadi', 'anime']",manusia normal anime
"summit adalah konferensi untuk pengembang, peneliti, dan pembuat yang membangun summit akan menjadi kesempatan luar biasa untuk belajar dan terhubung dengan para pemimpin puncak di space",Neutral,summit adalah konferensi untuk pengembang peneliti dan pembuat yang membangun summit akan menjadi kesempatan luar biasa untuk belajar dan terhubung dengan para pemimpin puncak di space,summit adalah konferensi untuk pengembang peneliti dan pembuat yang membangun summit akan menjadi kesempatan luar biasa untuk belajar dan terhubung dengan para pemimpin puncak di space,"['summit', 'adalah', 'konferensi', 'untuk', 'pengembang', 'peneliti', 'dan', 'pembuat', 'yang', 'membangun', 'summit', 'akan', 'menjadi', 'kesempatan', 'luar', 'biasa', 'untuk', 'belajar', 'dan', 'terhubung', 'dengan', 'para', 'pemimpin', 'puncak', 'di', 'space']",summit konferensi pengembang peneliti pembuat membangun summit kesempatan belajar terhubung pemimpin puncak space
dapatkan buku pesan di chat dan temukan kesayanganmu di toko daring kami di: shopee tokopedia,Neutral,dapatkan buku pesan di chat dan temukan kesayanganmu di toko daring kami di shopee tokopedia,dapatkan buku pesan di chat dan temukan kesayanganmu di toko daring kami di shopee tokopedia,"['dapatkan', 'buku', 'pesan', 'di', 'chat', 'dan', 'temukan', 'kesayanganmu', 'di', 'toko', 'daring', 'kami', 'di', 'shopee', 'tokopedia']",dapatkan buku pesan chat temukan kesayanganmu toko daring shopee tokopedia
apa kabar ya pak raimu din a¿?,Neutral,apa kabar ya pak raimu din a¿,apa kabar ya pak raimu din a¿,"['apa', 'kabar', 'ya', 'pak', 'raimu', 'din', 'a¿']",kabar raimu din a¿
ready dadakan yah main santai open bo buat bayar kamar hotel,Neutral,ready dadakan yah main santai open bo buat bayar kamar hotel,ready dadakan ya main santai open bo buat bayar kamar hotel,"['ready', 'dadakan', 'ya', 'main', 'santai', 'open', 'bo', 'buat', 'bayar', 'kamar', 'hotel']",ready dadakan main santai open bo bayar kamar hotel
"percayalah tidak ada wanita yang baik-baik saja, ketika mengetahui pasangannya berkomunikasi dengan mantannya",Neutral,percayalah tidak ada wanita yang baikbaik saja ketika mengetahui pasangannya berkomunikasi dengan mantannya,percayalah tidak ada wanita yang baikbaik saja ketika mengetahui pasangannya berkomunikasi dengan mantannya,"['percayalah', 'tidak', 'ada', 'wanita', 'yang', 'baikbaik', 'saja', 'ketika', 'mengetahui', 'pasangannya', 'berkomunikasi', 'dengan', 'mantannya']",percayalah wanita baikbaik pasangannya berkomunikasi mantannya
"rumit, kata pertama yg terlintas di kepala tiap ada karya oriol paulo yg keluar. krn kali ini series, kegilaannya lebih parah dari biasa dgn durasi yg lebih panjang dari kebanyakan film yg dia buat sebelumnya.",Neutral,rumit kata pertama yg terlintas di kepala tiap ada karya oriol paulo yg keluar krn kali ini series kegilaannya lebih parah dari biasa dgn durasi yg lebih panjang dari kebanyakan film yg dia buat sebelumnya,rumit kata pertama yang terlintas di kepala tiap ada karya oriol paulo yang keluar karena kali ini series kegilaannya lebih parah dari biasa dengan durasi yang lebih panjang dari kebanyakan film yang dia buat sebelumnya,"['rumit', 'kata', 'pertama', 'yang', 'terlintas', 'di', 'kepala', 'tiap', 'ada', 'karya', 'oriol', 'paulo', 'yang', 'keluar', 'karena', 'kali', 'ini', 'series', 'kegilaannya', 'lebih', 'parah', 'dari', 'biasa', 'dengan', 'durasi', 'yang', 'lebih', 'panjang', 'dari', 'kebanyakan', 'film', 'yang', 'dia', 'buat', 'sebelumnya']",rumit terlintas kepala karya oriol paulo kali series kegilaannya parah durasi kebanyakan film
"sedikit kepikiran, kereta saja bisa begitu; apalagi hidup manusia. jika ada yang ""menghambat"" hidup seseorang, secara sadar atau tidak sadar maupun langsung tidak langsung mereka juga menghambat hidup orang lain.",Neutral,sedikit kepikiran kereta saja bisa begitu apalagi hidup manusia jika ada yang menghambat hidup seseorang secara sadar atau tidak sadar maupun langsung tidak langsung mereka juga menghambat hidup orang lain,sedikit kepikiran kereta saja bisa begitu apalagi hidup manusia jika ada yang menghambat hidup seseorang secara sadar atau tidak sadar maupun langsung tidak langsung mereka juga menghambat hidup orang lain,"['sedikit', 'kepikiran', 'kereta', 'saja', 'bisa', 'begitu', 'apalagi', 'hidup', 'manusia', 'jika', 'ada', 'yang', 'menghambat', 'hidup', 'seseorang', 'secara', 'sadar', 'atau', 'tidak', 'sadar', 'maupun', 'langsung', 'tidak', 'langsung', 'mereka', 'juga', 'menghambat', 'hidup', 'orang', 'lain']",kepikiran kereta hidup manusia menghambat hidup sadar sadar langsung langsung menghambat hidup orang
ibu gurunya menjelaskan siswanya biasa saja tidur ngumpet,Neutral,ibu gurunya menjelaskan siswanya biasa saja tidur ngumpet,ibu gurunya menjelaskan siswanya biasa saja tidur ngumpet,"['ibu', 'gurunya', 'menjelaskan', 'siswanya', 'biasa', 'saja', 'tidur', 'ngumpet']",gurunya siswanya tidur ngumpet
gak sedih. biasa aja. kesel juga engga. tapi air mata tiba-tiba keluar padahal feeling lagi kosong haha. gilss.,Neutral,gak sedih biasa aja kesel juga engga tapi air mata tibatiba keluar padahal feeling lagi kosong haha gilss,tidak sedih biasa saja kesel juga tidak tapi air mata tibatiba keluar padahal feeling lagi kosong haha gilss,"['tidak', 'sedih', 'biasa', 'saja', 'kesel', 'juga', 'tidak', 'tapi', 'air', 'mata', 'tibatiba', 'keluar', 'padahal', 'feeling', 'lagi', 'kosong', 'haha', 'gilss']",sedih kesel air mata tibatiba feeling kosong haha gilss
banguna dapet kabar baik,Neutral,banguna dapet kabar baik,banguna dapat kabar baik,"['banguna\x9d', 'dapat', 'kabar', 'baik']",banguna kabar
"biasa dia yang beliin makanan, sekarang… tidak ada siapapun",Neutral,biasa dia yang beliin makanan sekarang… tidak ada siapapun,biasa dia yang belikan makanan sekarang… tidak ada siapapun,"['biasa', 'dia', 'yang', 'belikan', 'makanan', 'sekarang…', 'tidak', 'ada', 'siapapun']",belikan makanan sekarang…
"alhamdulillah dia sehat baik-baik saja.. mau titip salam? nnti saya sampaikan..,,",Neutral,alhamdulillah dia sehat baikbaik saja mau titip salam nnti saya sampaikan,alhamdulillah dia sehat baikbaik saja mau titip salam nanti saya sampaikan,"['alhamdulillah', 'dia', 'sehat', 'baikbaik', 'saja', 'mau', 'titip', 'salam', 'nanti', 'saya', 'sampaikan']",alhamdulillah sehat baikbaik titip salam
"bukan karena agamamu tp mungkin komunikasimu yg jelek , materi yg kamu sampaikan cenderung meng- aduk2 persatuan dn kesatuan umat, kebersamaan dan dan tenggang rasa umat , toleransi dan persaudaraan umat bahkan bukan saja umat islam tp jg non islam mawas diri dan bermuhasabahlan",Neutral,bukan karena agamamu tp mungkin komunikasimu yg jelek materi yg kamu sampaikan cenderung meng aduk persatuan dn kesatuan umat kebersamaan dan dan tenggang rasa umat toleransi dan persaudaraan umat bahkan bukan saja umat islam tp jg non islam mawas diri dan bermuhasabahlan,bukan karena agamamu tapi mungkin komunikasimu yang jelek materi yang kamu sampaikan cenderung meng aduk persatuan dan kesatuan umat kebersamaan dan dan tenggang rasa umat toleransi dan persaudaraan umat bahkan bukan saja umat islam tapi juga non islam mawas diri dan bermuhasabahlan,"['bukan', 'karena', 'agamamu', 'tapi', 'mungkin', 'komunikasimu', 'yang', 'jelek', 'materi', 'yang', 'kamu', 'sampaikan', 'cenderung', 'meng', 'aduk', 'persatuan', 'dan', 'kesatuan', 'umat', 'kebersamaan', 'dan', 'dan', 'tenggang', 'rasa', 'umat', 'toleransi', 'dan', 'persaudaraan', 'umat', 'bahkan', 'bukan', 'saja', 'umat', 'islam', 'tapi', 'juga', 'non', 'islam', 'mawas', 'diri', 'dan', 'bermuhasabahlan']",agamamu komunikasimu jelek materi cenderung meng aduk persatuan kesatuan umat kebersamaan tenggang umat toleransi persaudaraan umat umat islam non islam mawas bermuhasabahlan
luar biasa.. parah,Neutral,luar biasa parah,luar biasa parah,"['luar', 'biasa', 'parah']",parah
"sebenernya udah ga cenggeng ko ndii.. cuma aku sebel kalo lagi ngerasain perasaan kaya gini ndi daann biasa nya kalo aku lagi kaya gini kamu yg nenangin, tapi nyata ndiisekarang pun kamu masih suka nenangin yakan ndi ? tapi dari atas sana",Neutral,sebenernya udah ga cenggeng ko ndii cuma aku sebel kalo lagi ngerasain perasaan kaya gini ndi daann biasa nya kalo aku lagi kaya gini kamu yg nenangin tapi nyata ndiisekarang pun kamu masih suka nenangin yakan ndi tapi dari atas sana,sebenarnya sudah tidak cenggeng kok ndii cuma aku sebel kalau lagi merasai perasaan kayak begini ndi daann biasa ya kalau aku lagi kayak begini kamu yang nenangin tapi nyata ndiisekarang pun kamu masih suka nenangin yakan ndi tapi dari atas sana,"['sebenarnya', 'sudah', 'tidak', 'cenggeng', 'kok', 'ndii', 'cuma', 'aku', 'sebel', 'kalau', 'lagi', 'merasai', 'perasaan', 'kayak', 'begini', 'ndi', 'daann', 'biasa', 'ya', 'kalau', 'aku', 'lagi', 'kayak', 'begini', 'kamu', 'yang', 'nenangin', 'tapi', 'nyata', 'ndiisekarang', 'pun', 'kamu', 'masih', 'suka', 'nenangin', 'yakan', 'ndi', 'tapi', 'dari', 'atas', 'sana']",cenggeng ndii sebel merasai perasaan kayak ndi daann kayak nenangin nyata ndiisekarang suka nenangin yakan ndi
"ia..namun kita juga tau dua label itu bukan sekedar permainan politik saja. namun ad fakta2 yg kit harus sadari ""rasa"" politik saat ini arahnya kmn.",Neutral,ianamun kita juga tau dua label itu bukan sekedar permainan politik saja namun ad fakta yg kit harus sadari rasa politik saat ini arahnya kmn,ianamun kita juga tau dua label itu bukan sekedar permainan politik saja namun ada fakta yang kit harus sadari rasa politik saat ini arahnya kemana,"['ianamun', 'kita', 'juga', 'tau', 'dua', 'label', 'itu', 'bukan', 'sekedar', 'permainan', 'politik', 'saja', 'namun', 'ada', 'fakta', 'yang', 'kit', 'harus', 'sadari', 'rasa', 'politik', 'saat', 'ini', 'arahnya', 'kemana']",ianamun label sekedar permainan politik fakta kit sadari politik arahnya kemana
emang biasa aja sih makan steak tapi kan itu sesuatu yang mahal buat kami yang berpenghasilan umr,Neutral,emang biasa aja sih makan steak tapi kan itu sesuatu yang mahal buat kami yang berpenghasilan umr,memang biasa saja sih makan steak tapi kan itu sesuatu yang mahal buat kami yang berpenghasilan umr,"['memang', 'biasa', 'saja', 'sih', 'makan', 'steak', 'tapi', 'kan', 'itu', 'sesuatu', 'yang', 'mahal', 'buat', 'kami', 'yang', 'berpenghasilan', 'umr']",makan steak mahal berpenghasilan umr
biasa dirapel ya makannya?,Neutral,biasa dirapel ya makannya,biasa dirapel ya makannya,"['biasa', 'dirapel', 'ya', 'makannya']",dirapel makannya
"siap, kak ubi! nanti aku teriakin nama kak ubi kalau papasan, hihi. enggak seimut itu padahala” sudah, kak! tinggal pesan id card aja.",Neutral,siap kak ubi nanti aku teriakin nama kak ubi kalau papasan hihi enggak seimut itu padahala” sudah kak tinggal pesan id card aja,siap kak ubi nanti aku teriakin nama kak ubi kalau papasan hihi enggak seimut itu padahala” sudah kak tinggal pesan id card saja,"['siap', 'kak', 'ubi', 'nanti', 'aku', 'teriakin', 'nama', 'kak', 'ubi', 'kalau', 'papasan', 'hihi', 'enggak', 'seimut', 'itu', 'padahala”', 'sudah', 'kak', 'tinggal', 'pesan', 'id', 'card', 'saja']",ubi teriakin nama ubi papasan hihi seimut padahala” tinggal pesan id card
"pedri : ""atletico? merekaa akan keluar untuk menekan seperti biasa dan mencuri bola dari lapangan lawan. mereka memberikan banyak intensitas dalam permainan. kami berharap untuk menguasai bola dan memainkan permainan kami.",Neutral,pedri atletico merekaa akan keluar untuk menekan seperti biasa dan mencuri bola dari lapangan lawan mereka memberikan banyak intensitas dalam permainan kami berharap untuk menguasai bola dan memainkan permainan kami,pedri atletico mereka akan keluar untuk menekan seperti biasa dan mencuri bola dari lapangan lawan mereka memberikan banyak intensitas dalam permainan kami berharap untuk menguasai bola dan memainkan permainan kami,"['pedri', 'atletico', 'mereka', 'akan', 'keluar', 'untuk', 'menekan', 'seperti', 'biasa', 'dan', 'mencuri', 'bola', 'dari', 'lapangan', 'lawan', 'mereka', 'memberikan', 'banyak', 'intensitas', 'dalam', 'permainan', 'kami', 'berharap', 'untuk', 'menguasai', 'bola', 'dan', 'memainkan', 'permainan', 'kami']",pedri atletico menekan mencuri bola lapangan lawan intensitas permainan berharap menguasai bola memainkan permainan
"apa saja sih masalah kota ini, kok suram banget kayaknya",Neutral,apa saja sih masalah kota ini kok suram banget kayaknya,apa saja sih masalah kota ini kok suram banget kayaknya,"['apa', 'saja', 'sih', 'masalah', 'kota', 'ini', 'kok', 'suram', 'banget', 'kayaknya']",kota suram banget kayaknya
tidak mengapa untuk mengaku sedang tak baik2 saja,Neutral,tidak mengapa untuk mengaku sedang tak baik saja,tidak mengapa untuk mengaku sedang tak baik saja,"['tidak', 'mengapa', 'untuk', 'mengaku', 'sedang', 'tak', 'baik', 'saja']",mengaku
halo pahari samandiai ada kabar gembira nih bagi para jagoan badminton di kalimantan gass skuy !! ramaikan perebutan piala kepala bnnp kalteng pada turnamen badminton se-kalimantan tahun 2022 dalam rangka hut bnn ri ke-20.,Neutral,halo pahari samandiai ada kabar gembira nih bagi para jagoan badminton di kalimantan gass skuy ramaikan perebutan piala kepala bnnp kalteng pada turnamen badminton sekalimantan tahun dalam rangka hut bnn ri ke,halo pahari samandiai ada kabar gembira nih bagi para jagoan badminton di kalimantan gass skuy ramaikan perebutan piala kepala bnnp kalteng pada turnamen badminton sekalimantan tahun dalam rangka hut bnn ri ke,"['halo', 'pahari', 'samandiai', 'ada', 'kabar', 'gembira', 'nih', 'bagi', 'para', 'jagoan', 'badminton', 'di', 'kalimantan', 'gass', 'skuy', 'ramaikan', 'perebutan', 'piala', 'kepala', 'bnnp', 'kalteng', 'pada', 'turnamen', 'badminton', 'sekalimantan', 'tahun', 'dalam', 'rangka', 'hut', 'bnn', 'ri', 'ke']",halo pahari samandiai kabar gembira jagoan badminton kalimantan gass skuy ramaikan perebutan piala kepala bnnp kalteng turnamen badminton sekalimantan rangka hut bnn ri
120-150 nder biasa nya aku liat,Neutral,nder biasa nya aku liat,nder biasa ya aku lihat,"['nder', 'biasa', 'ya', 'aku', 'lihat']",nder lihat
sibuk santai hehe,Neutral,sibuk santai hehe,sibuk santai hehe,"['sibuk', 'santai', 'hehe']",sibuk santai hehe
akuu mau beresin tugass biar sisa harinya bisa dipake rebahan santai. hbu?? kamu mau ngapain aja??,Neutral,akuu mau beresin tugass biar sisa harinya bisa dipake rebahan santai hbu kamu mau ngapain aja,aku mau beresin tugass biar sisa harinya bisa dipakai rebahan santai hbu kamu mau mengapai saja,"['aku', 'mau', 'beresin', 'tugass', 'biar', 'sisa', 'harinya', 'bisa', 'dipakai', 'rebahan', 'santai', 'hbu', 'kamu', 'mau', 'mengapai', 'saja']",beresin tugass biar sisa harinya dipakai rebahan santai hbu mengapai
hihi ada ada saja,Neutral,hihi ada ada saja,hihi ada ada saja,"['hihi', 'ada', 'ada', 'saja']",hihi
